French,English
partie,part
histoire,history
chercher,search
police,police
pensais,thought
aide,help
demande,request
genre,kind
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
revoir,meet again
aucune,any
place,square
compris,understood
savais,knew
attention,Warning
voici,here is
pourrais,could
affaire,case
leurs,their
yeux,eyes
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
vieux,old
tellement,so much
enfant,child
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
mis,placed
belle,beautiful
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
attendez,Wait
parti,left
nouvelle,new
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
croire,believe
chérie,sweetheart
gros,large
aura,will have
filles,girls
bureau,office
